no,image,situs,poktan,desa,bast,ongkir,tanggal_nofix
991,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76025/empty,Sikatutui I,Bontomanai,3835000,468000,03-10-2023
1058,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76092/empty,Salekowa,Sanrobone,4130000,504000,03-10-2023
1059,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76093/empty,Sarraka,Sanrobone,3835000,468000,03-10-2023
1073,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76107/empty,Tana-Tana,Canrego,4720000,576000,03-10-2023
1087,133/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76121/empty,Sama Jaya,Pa'bundukang,4720000,576000,03-10-2023
1104,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76138/empty,Tala Lompo,Moncongkomba,3835000,468000,03-10-2023
1108,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76142/empty,Bontokadieng,Moncongkomba,8260000,1008000,03-10-2023
1110,156/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76144/empty,Bontotangnga,Moncongkomba,4130000,504000,03-10-2023
1207,253/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/77000/empty,Butta Bakka,Panrannuangku,5015000,612000,03-10-2023
1247,293/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/77042/empty,Ajjulu Ero,Barugaya,6490000,792000,03-10-2023
